Symbol,Logo
F, https://images.seeklogo.com/logo-png/5/2/ford-logo-png_seeklogo-56577.png
APPL, https://cdn-icons-png.flaticon.com/512/0/747.png
NVDA, https://cdn-icons-png.flaticon.com/512/732/732230.png
TSLA, https://cdn-icons-png.flaticon.com/512/16183/16183663.png
AMZN, https://cdn-icons-png.flaticon.com/512/11378/11378506.png
MSFT, https://cdn-icons-png.flaticon.com/512/16183/16183626.png
GOOGL, https://cdn-icons-png.flaticon.com/512/2991/2991148.png
META, https://cdn-icons-png.flaticon.com/512/6033/6033716.png
NFLX, https://cdn-icons-png.flaticon.com/256/732/732228.png
AMD, https://cdn-icons-png.flaticon.com/512/731/731984.png
